userId,movieId,rating,timestamp
1,1,5.0,1700000001
1,2,4.5,1700000002
1,3,3.5,1700000003
1,4,2.5,1700000004
1,5,3.0,1700000005
1,6,4.0,1700000006
1,7,3.5,1700000007
1,8,4.0,1700000008
1,9,2.5,1700000009
1,10,4.5,1700000010
2,1,4.5,1700000011
2,2,5.0,1700000012
2,3,3.0,1700000013
2,4,2.5,1700000014
2,5,3.5,1700000015
2,6,4.0,1700000016
2,7,3.0,1700000017
2,8,4.5,1700000018
2,11,4.0,1700000019
2,12,3.0,1700000020
3,3,2.5,1700000021
3,4,3.0,1700000022
3,5,3.5,1700000023
3,6,4.0,1700000024
3,7,3.0,1700000025
3,8,3.5,1700000026
3,9,4.0,1700000027
3,10,4.5,1700000028
3,11,3.5,1700000029
3,12,4.0,1700000030
4,5,2.5,1700000031
4,6,3.0,1700000032
4,7,3.5,1700000033
4,8,4.0,1700000034
4,9,3.0,1700000035
4,10,3.5,1700000036
4,11,4.0,1700000037
4,12,4.5,1700000038
4,13,4.0,1700000039
4,14,3.5,1700000040
5,7,4.0,1700000041
5,8,3.5,1700000042
5,9,3.0,1700000043
5,10,4.0,1700000044
5,11,4.5,1700000045
5,12,3.0,1700000046
5,13,3.5,1700000047
5,14,4.0,1700000048
5,15,3.5,1700000049
5,16,4.5,1700000050
6,9,3.5,1700000051
6,10,4.0,1700000052
6,11,3.0,1700000053
6,12,3.5,1700000054
6,13,4.0,1700000055
6,14,4.5,1700000056
6,15,3.5,1700000057
6,16,4.0,1700000058
6,17,4.5,1700000059
6,18,3.0,1700000060
7,11,3.5,1700000061
7,12,4.0,1700000062
7,13,4.5,1700000063
7,14,3.0,1700000064
7,15,3.5,1700000065
7,16,4.0,1700000066
7,17,3.5,1700000067
7,18,4.5,1700000068
7,19,3.0,1700000069
7,20,4.0,1700000070
8,13,3.0,1700000071
8,14,3.5,1700000072
8,15,4.0,1700000073
8,16,4.5,1700000074
8,17,3.5,1700000075
8,18,4.0,1700000076
8,19,4.5,1700000077
8,20,3.0,1700000078
8,21,4.0,1700000079
8,22,3.5,1700000080
9,15,3.5,1700000081
9,16,4.0,1700000082
9,17,4.5,1700000083
9,18,3.0,1700000084
9,19,3.5,1700000085
9,20,4.0,1700000086
9,21,4.5,1700000087
9,22,3.0,1700000088
9,23,4.0,1700000089
9,24,3.5,1700000090
10,17,3.0,1700000091
10,18,3.5,1700000092
10,19,4.0,1700000093
10,20,4.5,1700000094
10,21,3.5,1700000095
10,22,4.0,1700000096
10,23,4.5,1700000097
10,24,3.0,1700000098
10,25,4.0,1700000099
10,26,3.5,1700000100
11,19,3.5,1700000101
11,20,4.0,1700000102
11,21,4.5,1700000103
11,22,3.0,1700000104
11,23,3.5,1700000105
11,24,4.0,1700000106
11,25,4.5,1700000107
11,26,3.0,1700000108
11,27,4.0,1700000109
11,28,3.5,1700000110
12,21,4.0,1700000111
12,22,4.5,1700000112
12,23,3.5,1700000113
12,24,4.0,1700000114
12,25,3.0,1700000115
12,26,3.5,1700000116
12,27,4.5,1700000117
12,28,4.0,1700000118
12,29,3.5,1700000119
12,30,4.0,1700000120
